number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
3222,BRQD,Bridled Quail-Dove,"3A, 4",Geotrygon mystacea,,,487
760,BRTE,Bridled Tern,"2A, 3, 2",Onychoprion anaethetus,,,439
7340,BRTI,Bridled Titmouse,"1, 1C",Baeolophus wollweberi,,,786
8700,BRWE,Bridled White-eye,"0A, 0",Zosterops conspicillatus,,,837
2680,BTCU,Bristle-thighed Curlew,"4A, 5",Numenius tahitiensis,,,330
4410,BBLH,Broad-billed Hummingbird,X,Cynanthus latirostris,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",570
8528,BBPR,Broad-billed Prion,3,Pachyptila vittata,,,140
4320,BTHU,Broad-tailed Hummingbird,X,Selasphorus platycercus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",562
3430,BWHA,Broad-winged Hawk,"5, 6",Buteo platypterus,,Lock-on bands recommended.,253
8101,BRMA,Bronze Mannikin,0A,Spermestes cucullata,,,1208
4960,BROC,Bronzed Cowbird,"M: 2, 1D
F: 1A, 1D",Molothrus aeneus,,,1125
1150,BRBO,Brown Booby,"7B, 7",Sula leucogaster,,,198
7260,BRCR,Brown Creeper,"0A, 0",Certhia americana,,,798
4832,BRJA,Brown Jay,"4A, 4, 3A",Psilorhinus morio,,,735
790,BRNO,Brown Noddy,3,Anous stolidus,,,433
1260,BRPE,Brown Pelican,"8A, 9, 8",Pelecanus occidentalis,,,211
6211,BRSH,Brown Shrike,"1B, 1A",Lanius cristatus,,,707
8554,BRSK,Brown Skua,"7B, 7A",Stercorarius antarcticus,,,373
7050,BRTH,Brown Thrasher,"2, 3",Toxostoma rufum,,,881
9116,BRTR,Brown Trembler,"2, 1D",Cinclocerthia ruficauda,,,879
5260,BCRF,Brown-capped Rosy-Finch,"1B, 1A, 1",Leucosticte australis,,,1151
4530,BCFL,Brown-crested Flycatcher,1A,Myiarchus tyrannulus,,,686
4950,BHCO,Brown-headed Cowbird,"M: 1A, 1D, 2, 1B
F: 1B, 1A, 1D",Molothrus ater,,,1126
7290,BHNU,Brown-headed Nuthatch,"0, 1C",Sitta pusilla,,,797
3814,BTPA,Brown-throated Parakeet,"3, 2",Eupsittula pertinax,,"No butt-end bands, special parrot bands only.",634
2161,BBRA,Buff-banded Rail,4,Gallirallus philippensis,,,270
4390,BUFH,Buff-bellied Hummingbird,X,Amazilia yucatanensis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",574
4700,BBFL,Buff-breasted Flycatcher,"0A, 0",Empidonax fulvifrons,,,675
2620,BBSA,Buff-breasted Sandpiper,1A,Calidris subruficollis,,,356
4161,BCNI,Buff-collared Nightjar,2,Antrostomus ridgwayi,,,534
1530,BUFF,Bufflehead,"5, 5A",Bucephala albeola,,,80
8521,BUAL,Buller's Albatross,8,Thalassarche bulleri,,,123
962,BULS,Buller's Shearwater,4,Ardenna bulleri,,,165
5080,BUOR,Bullock's Oriole,"1A, 1B, 1D",Icterus bullockii,,,1137
1010,BUPE,Bulwer's Petrel,"2, 2A, 3",Bulweria bulwerii,,,157
4350,BUHU,Bumblebee Hummingbird,X,Selasphorus heloisa,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",561
3780,BUOW,Burrowing Owl,4,Athene cunicularia,"Alberta
British Columbia
Manitoba
Saskatchewan",Lock-on bands recommended.,516
7430,BUSH,Bushtit,"0A, 0",Psaltriparus minimus,,,793
7130,CACW,Cactus Wren,"1B, 1A",Campylorhynchus brunneicapillus,,,810
2164,CBRA,California Black Rail,"1D, 1A, 2",Laterallus jamaicensis coturniculus,,,269
3240,CALC,California Condor,8V,Gymnogyps californianus,Y,Cannot band with metal bands--request “air” bands for reporting wing-tagged birds.,235
7530,CAGN,California Gnatcatcher,0A,Polioptila californica,Y,,813
530,CAGU,California Gull,"5, 5A",Larus californicus,,,421
743,CLTE,California Least Tern,"1A, 1B",Sternula antillarum browni,Y,,444
2111,CRRA,California Ridgway's Rail,5,Rallus obsoletus obsoletus,Y,,272
4813,CASJ,California Scrub-Jay,"3, 2, 2A",Aphelocoma californica,,,741
3691,CSOW,California Spotted Owl,"7B, 7A",Strix occidentalis occidentalis,,Lock-on bands recommended.,519
7100,CATH,California Thrasher,3,Toxostoma redivivum,,,884
5911,CALT,California Towhee,"2, 1A, 1D",Melozone crissalis,,,1027
4360,CAHU,Calliope Hummingbird,X,Selasphorus calliope,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",568
1720,CAGO,Canada Goose,"8, 8A",Branta canadensis,,,28
4840,CAJA,Canada Jay,"3, 2, 2A",Perisoreus canadensis,,,734
6860,CAWA,Canada Warbler,"0, 0A",Cardellina canadensis,"Alberta
British Columbia
Manitoba
New Brunswick
Nova Scotia
Ontario
Prince Edward Island
Québec
Saskatchewan
Yukon Territory
Northwest Territories",,989
