number,alpha,common,scientific,taxonomic_order
3540,GYRF,Gyrfalcon,Falco rusticolus,626
3550,PRFA,Prairie Falcon,Falco mexicanus,628
3560,PEFA,Peregrine Falcon,Falco peregrinus,627
3570,MERL,Merlin,Falco columbarius,624
3591,EUKE,Eurasian Kestrel,Falco tinnunculus,622
3600,AMKE,American Kestrel,Falco sparverius,623
3620,CRCA,Crested Caracara,Caracara plancus,620
3640,OSPR,Osprey,Pandion haliaetus,236
3650,BNOW,Barn Owl *,Tyto alba,503
3651,AFOW,Ashy-faced Owl,Tyto glaucops,504
3660,LEOW,Long-eared Owl,Asio otus,524
3670,SEOW,Short-eared Owl,Asio flammeus,525
3680,BDOW,Barred Owl,Strix varia,522
3686,SBOH,Spotted X Barred Owl Hybrid,,518
3691,CSOW,California Spotted Owl,Strix occidentalis occidentalis,519
3700,GGOW,Great Gray Owl,Strix nebulosa,523
3710,BOOW,Boreal Owl,Aegolius funereus,526
3720,NSWO,Northern Saw-whet Owl *,Aegolius acadicus,527
3730,EASO,Eastern Screech-Owl,Megascops asio,507
3731,WHSO,Whiskered Screech-Owl,Megascops trichopsis,508
3732,WESO,Western Screech-Owl *,Megascops kennicottii,506
3734,PURO,Puerto Rican Owl,Gymnasio nudipes,509
3740,FLOW,Flammulated Owl,Psiloscops flammeolus,505
3750,GHOW,Great Horned Owl,Bubo virginianus,510
3760,SNOW,Snowy Owl,Bubo scandiacus,511
3770,NHOW,Northern Hawk Owl,Surnia ulula,512
3780,BUOW,Burrowing Owl *,Athene cunicularia,516
3790,NOPO,Northern Pygmy-Owl,Glaucidium gnoma,513
3810,ELOW,Elf Owl,Micrathene whitneyi,515
3811,NAPA,Nanday Parakeet,Aratinga nenday,631
3812,HPKT,Hispaniolan Parakeet,Psittacara chloropterus,635
3813,OFPA,Orange-fronted Parakeet,Eupsittula canicularis,633
3814,BTPA,Brown-throated Parakeet,Eupsittula pertinax,634
3815,BCLO,Blue-crowned Lorikeet,Vini australis,629
3816,GREP,Green Parakeet,Psittacara holochlorus,632
3817,MIPA,Mitred Parakeet,Psittacara mitratus,636
3818,WWPA,White-winged Parakeet,Brotogeris versicolurus,639
3819,YCPA,Yellow-chevroned Parakeet,Brotogeris chiriri,640
3822,RRPA,Rose-ringed Parakeet,Psittacula krameri,645
3823,RFLO,Rosy-faced Lovebird,Agapornis roseicollis,646
3824,MOPA,Monk Parakeet,Myiopsitta monachus,630
3825,RMPA,Red-masked Parakeet,Psittacara erythrogenys,638
3826,RCPA,Red-crowned Parrot,Amazona viridigenalis,643
3827,HPRT,Hispaniolan Parrot,Amazona ventralis,641
3829,OWAM,Orange-winged Amazon,Amazona amazonica,644
